Unique Form ID (MOJ DIGITAL),Form Reference,Form Title,Agency/Organisation,Form/Guidance/Other,Language,Doc Date,File Name,File Type,Location,Formfinder category,Downloads,Unique Downloads,References,Word Count,Approximate number of pages,Count of references,Number of times that this form is referenced within other forms,Signature,Payment,Attachment,Statement of Truth
2389,600971,Register a lasting power of attorney,OPG,Form,English,NA,_Register-your-LPA-made-using-an-LPA114-LPA117-LPPW-or-LPPA-complete-pack.zip,ZIP,GOV.UK,NA,1572,NA,NULL,#N/A,#N/A,NA,NA,0,0,No,NA
2230,345964,L31: income and outgoings for self-employment or partnership,LAA,Form,English,NA,31_-_income_outgoings_for_self-employment_business_partnership_.pdf,PDF,GOV.UK,NA,804,NA,NULL,#N/A,#N/A,NA,NA,1,0,No,NA
773,5050A,Schedule of available or realisable assets,HMCTS,Form,English,12/2008,5050a-eng.doc,DOC,Formfinder,Crown Court,#N/A,#N/A,none detected,344,2,0,0,0,0,No,0
774,5050A,Schedule of available or realisable assets,HMCTS,Form,English,12/2008,5050a-eng.pdf,PDF,Formfinder,Crown Court,161,115,none detected,462,2,0,0,1,0,No,0
772,5138,Cais am ymestyn gorchymyn cynrychiolaeth i fwy nag un eiriolwr neu i CF yn unig (Rheoliad 18 o'r Rheoliadau Cymorth Cyfreithiol Troseddol (Penderfyniadau gan Lys a Dewis Cynrychiolydd) 2013 fel y'u diwygiwyd),HMCTS,Form,Welsh,04/2014,5138-cym.doc,DOC,Formfinder,Llys y Goron,#N/A,#N/A,none detected,3095,10,0,0,0,0,Yes,0
771,5138,"Application for Extension of a Representation Order to More Than One Advocate, or to a QC Alone",HMCTS,Form,English,04/2014,5138-eng.doc,DOC,Formfinder,Crown Court,300,266,none detected,3114,10,0,0,1,0,Yes,0
308,5222,Eich canllaw i Wasanaeth Rheithgor,HMCTS,Guidance,Welsh,02/2015,5222-cym.pdf,PDF,Formfinder,Gwasanaeth rheithgor,#N/A,#N/A,"c(""gwys rheithgor"", ""lwfansau"")",N/A,#VALUE!,2,0,0,0,No,0
307,5222,Your guide to Jury Service,HMCTS,Guidance,English,10/2016,5222-eng.pdf,PDF,Formfinder,Jury Service,79,77,"c(""juror charter"", ""jury summons form"")",N/A,#VALUE!,2,0,1,0,No,0
458,5222A,Yn gefn ichi Drwy'ch Gwasanaeth Rheithgor | Supporting you through Jury Service,HMCTS,Leaflet,Welsh,10/2016,5222a-bil.pdf,PDF,Formfinder,Jury Service,#N/A,#N/A,juror charter,N/A,#VALUE!,1,0,1,0,No,0
457,5222A,Supporting you through Jury Service,HMCTS,Leaflet,English,11/2016,5222a-eng.pdf,PDF,Formfinder,Jury Service,43,41,juror charter,N/A,#VALUE!,1,0,1,0,No,0
775,A/E,Your guide to the Attachment of Earnings Act 1971,HMCTS,Guidance,English,11/2014,a-e-eng.pdf,PDF,Formfinder,Attachment of Earnings,469,439,none detected,N/A,#VALUE!,0,0,1,0,No,0
