file,text,short_text
5050a-eng.txt,"proceeds of crime act 2002 insert a check x in one box drug trafficking act 1994 criminal justice act 1988 2 the prosecutor considers that the assets below are available or may be realised. description of asset include the type of asset for example, whether it is cash - and identification details, as appropriate. put each asset in a separate row and the asset number in the column to the left. current location please say whether the asset is inside or outside the united kingdom, or hidden (location not known). notes state here whether under restraint or a charging order. value () for every asset, the value presented by the prosecutor. give the value in sterling (gbp) only. the courts value () to be completed by the court . for every asset, give a value, even if it is unchanged. note any asset not available for enforcement. 1 2 3 4 for the courts use total value of available or realisable assets decided by the court () signed an officer of the crown court if any value decided by the court is different from the value presented to the court, the reason is given on the confiscation order, form 5050: see the section decisions of the court about the available amount (the amount that may be date realised). 5050a, mr (12.08) 1 of crown copyright 2008 the crown court at case numbe r 5050a, mr (12.08) of crown copyright 2008 description of asset include the type of asset for example, whether it is cash - and identification details, as appropriate. put each asset in a separate row and the asset number in the column to the left. current location please say whether the asset is inside or outside the united kingdom, or hidden (location not known). notes state here whether under restraint or a charging order. value () for every asset, the value presented by the prosecutor. give the value in sterling (gbp) only. the courts value () to be completed by the court . for every asset, give a value, even if it is unchanged. note any asset not available for enforcement. ",alisable assets decided by the court () signed an officer of the crown court if any va
5138-eng_doc.txt," [pic] the crown court at case number application for extension of a representation order to more than ν please refer to the guidance for practitioners and court staff on one advocate, or to a qc alone applications for extension of representation orders to more than one regulation 18 of the criminal legal aid (determinations by a court and choice of advocate, or to a qc alone, on page 5 of this form. representative) regulations 2013, as amended ν the trial advocate should complete this form. the form should be signed by the trial advocate and countersigned by the instructed advocate, if different. 1 defendant surname or family name forenames or other names 2 i apply for an extension of representation by qc alone two juniors qc and noting junior before (if judge already allocated) 3 prosecuting advocates name of qc name of (first) junior name of (second) junior (if applicable) 4 number of witnesses served as part of prosecution case likely to be required by this defendant 5 number of pages of total number of pages of evidence prosecution evidence (if there is electronic evidence please provide further details) witness statements interviews of represented defendant interviews of co-accused - no reply interviews of co-accused - replied to questions photographs telephone, banking or other raw data analysis of data (for example, by schedules, diagrams etc) other exhibits (specify the nature of the exhibits) 6 unused material extent of unused material, including electronic material. describe the unused material and its relevance to the defendant’s case. (this may be included in the trial advocate’s statement.) 7 trial time estimated trial time 8 enclosures ν i enclose the following: if any of these documents are not enclosed, the prosecution case summary the application will be returned. the trial advocate’s statement, giving a short description of the evidence and detail of the matters listed in questions 4 to 7. the trial advocate's statement should fully describe ν the substantial novel or complex issues of law or fact which could not be adequately presented except by the level of representation applied for. ν the represented defendant’s alleged role; and what work will need to be done to prepare for the trial. ν what work has already been done and by whom. if the application relates to a very high cost case then the case plan and latest stage plan must be included for litigators and advocates. if the application is for a second advocate the statement should also describe ν how it is proposed to divide the preparatory work between the two advocates. ν why the work should be done by an advocate rather than a litigator. ν the work to be done by the leading advocate and the junior advocate at trial. ν if the application is for two junior advocates or a junior and noting junior, the circumstances that make the application appropriate. 9 declarations ν i understand that if there is any proposed change in representation, the court must be informed before the change is made. this will enable the case to be managed in accordance with the criminal procedure rules. ν in submitting this application i believe that i have made a full and frank disclosure of all matters material to enable the judge properly to consider the issues required to be considered under the criminal legal aid (determinations by a court and choice of representative) regulations 2013, as amended. ν i undertake to the court that any advocate instructed in the case, with the exception of any noting junior or in other cases where the judge has in the grant of the application made a specific provision, will, in the absence of leading counsel be professionally capable of continuing appropriate elements of the trial including cross-examination of some witnesses, if required to do so by the trial judge. i confirm that the nature and basis for this application has been explained to the defendant. (if the application is for two junior advocates or a junior and noting junior, i confirm that the defendant understands that, if the application is granted, he or she will not be represented by a qc. if the case is within annex a, see guidance notes, and the judge has given an indication that he/she considers the case merits the appointment of a qc, whether as a leader or acting alone, if the application is not for a qc, i certify that the defendant has been fully advised of the judge’s indication, and that the defendant has explicitly declined. additionally, the defendant must personally sign a declaration to that effect. the declaration may be added to this form or provided separately to the court.) [delete if not applicable] name trial advocate signature trial advocate date name instructed advocate (if not the trial advocate) signature instructed advocate (if not the trial advocate) date [pic] the crown court at case number : judge’s decision and reasons on defendant : an application for an extension of a representation order to more than one advocate, or to a qc alone application refused: granted: ( name of leading advocate: name of second advocate: if the advocate is not known then the court should be notified by: by: (name of judge) a judge of the court of appeal a high court judge the registrar of criminal appeals the resident judge (or nominated deputy if unavailable) the allocated trial judge reasons: if required under regulation 19(2) of the criminal legal aid (determinations by a court and choice of representative) regulations 2013 as amended, the judge deciding the application should refer the decision for approval to a presiding judge of the relevant circuit and record here by signature and date that the presiding judge’s approval has been received. if not required, the judge should mark the section below ‘not applicable’. this must be done before the application is finally approved and before the parties are notified. signature …………………………………………………. date …………………………………………………….. guidance for practitioners and court staff on applications for extension of representation orders to more than one advocate, or to a qc alone issued by the lord chief justice, 22 april 2014 1. all applications for more than one advocate, or a qc alone, should be made using the revised form 5138 (4.14) with effect from 22 april 2014. the form should be fully completed by the advocate making the application and the necessary supporting documents should be submitted with the application. particular attention will be paid to the following points, in line with regulation 18 as amended. ", complete this form. the form should be signed by the trial advocate and countersigned
5222a-bil.txt,"os bydd rhywun yn dod atoch chi y tu allan ir llys, fe ddylech gysylltu r heddlu a riportior peth ar unwaith. y tro nesaf ichi ddychwelyd ir llys, fe ddylech ddweud wrth un o swyddogion y llys er mwyn i farnwr y treial gael gwybod. 5222asupporting you through jury service 2jury servicejury service is an important public duty and, as a juror, you play a vital role in the criminal justice system. each year, approximately 200,000 people across england and wales are summoned for jury service. for most people, jury service is interesting, rewarding and something they will do only once or twice in their lifetime. however, sometimes people may nd it a daunting experience because of the responsibility of the decisions they are asked to make, along with extra travelling or having to make additional arrangements. remember, you will not be on your own and if you have any difculties or concerns, you may talk to court staff or fellow jurors. jurors decide whether or not defendants are guilty of the offence they are charged with, based on the evidence presented in court. the crown court deals with the more serious criminal trials which can include murder, rape and grievous bodily harm. as a result, sometimes jurors hear evidence which may be distressing and upsetting for many reasons. we have worked jointly with samaritans ( see page 2 ) to provide this leaet, to support jurors emotionally, before, during and after jury service. 3before you start jury service if this is the rst time you have been called for jury service, it is normal to feel apprehensive about what to expect and what you will be asked to do. the information sent to you and is available through the www.gov.uk website, is designed to provide reassurance by explaining the procedure. however, we recognise you may still have concerns or questions. if you are particularly worried and you think a visit to a court would help, you may be able to arrange a visit to the courthouse before you start jury service. you can do this by contacting the jury central summoning bureau (jcsb); or you may ask the jcsb to arrange for you to talk about your concerns, by telephone, with a member of the court staff. while you are on jury service once you are at court and have been selected to sit on a trial, the judge will give you further guidance on your responsibilities in the courtroom and during the trial. jury service can affect people in different ways. you may hear or see evidence which upsets you and it may, in some circumstances, cause past events and feelings to emerge. 4court staff are available at all stages of jury service please remember that court staff are available at all stages of jury service. in particular, if you are unsure or uneasy about anything during the trial, you should write a note to the trial judge and attract the attention of the usher by raising your hand. the usher will pass your note to the judge who will deal with your query or concern. or you may write a note to the judge, in private during a break, and hand the note to the usher when you return to the courtroom. you may just need to speak to someone about your feelings sometimes you may just need to speak to someone about how you are feeling while on jury service. court staff and your fellow jurors on the trial may be able to help you and this may be enough, so that the feelings go away when you realise you are not alone. however, if you talk about your jury service you must be careful about what you discuss. you must ensure you follow at all times, the directions given by the trial judge about your responsibilities as a juror. it is an offence for anyone outside your jury to try and interfere with or intimidate a juror in any case before the crown court. if anyone approaches you about a case, you must tell a court ofcial or police ofcer at once so that the matter can be reported to the trial judge. 5after you nish jury service after jury service, if you have been upset by any of the evidence, you may nd the need to talk about your feelings. samaritans is available to you, or you may wish to contact your doctor (gp) for advice and to nd out what support is available to you. however, you should not discuss at any time the conversations which took place in the jury deliberation room. this includes any statements and opinions expressed by you or your fellow jurors while in the deliberation room because all of these conversations are private to you and your fellow jurors. as a juror, you should be aware that it is a criminal offence punishable with a ne and/or imprisonment to disclose, to any person any particular statements made, opinions expressed, arguments advanced or votes cast by members of a jury in the course of their deliberations in any legal proceedings. please remember that once you have completed your jury service, the rules above will continue to apply if you discuss any details of cases. this includes discussions with representatives of samaritans, your gp, court staff, and family and friends. 6how samaritans can help samaritans is an independent charity that provides emotional support, which is available 24 hours a day, but does not offer advice. you will be encouraged to talk about your feelings which allows you time to think throughyour concerns and explore your options. you can talk to samaritans in complete condence because they will not share what you tell them with anyone and will not judge you. samaritans has over 20,000 trained volunteers offering emotional support by telephone and email as well as through letters and face to face meetings. there are 201 branches across the united kingdom and republic of ireland. from relationship and family problems to job related stress and nancial worries, samaritans is available to anyone who is in any kind of distress. 7how to contact samaritans telephone (please see samaritans website for the latest call charge details.) united kingdom and republic of ireland: 116 123 email jo@samaritans.org visit website www.samaritans.org letter freepost rsrb-kkby-cyjk chris, po box 90 90, stirling, fk8 2sa contact your local branch of samaritans find your nearest branch by visiting www.samaritans.org frequently asked questions how do i know what to expect while on jury service? ","le through the www.gov.uk website, is designed to provide reassurance by explaining th"
5222a-eng.txt,"page 1 5222ajury servicejury service is an important public duty and, as a juror, you play a vital role in the criminal justice system. each year, approximately 200,000 people across england and wales are summoned for jury service. for most people, jury service is interesting, rewarding and something they will do only once or twice in their lifetime. however, sometimes people may nd it a daunting experience because of the responsibility of the decisions they are asked to make, along with extra travelling or having to make additional arrangements. remember, you will not be on your own and if you have any difculties or concerns, you may talk to court staff or fellow jurors. jurors decide whether or not defendants are guilty of the offence they are charged with, based on the evidence presented in court. the crown court deals with the more serious criminal trials which can include murder, rape and grievous bodily harm. as a result, sometimes jurors hear evidence which may be distressing and upsetting for many reasons. we have worked jointly with samaritans ( see page 2 ) to provide this leaet, to support jurors emotionally, before, during and after jury service. before you start jury service if this is the rst time you have been called for jury service, it is normal to feel apprehensive about what to expect and what you will be asked to do. the information sent to you and is available through the www.gov.uk website, is designed to provide reassurance by explaining the procedure. however, we recognise you may still have concerns or questions. supporting you through jury service 5222a (11.16) crown copyright 201 6page 2 if you are particularly worried and you think a visit to a court would help, you may be able to arrange a visit to the courthouse before you start jury service. you can do this by contacting the jury central summoning bureau (jcsb); or you may ask the jcsb to arrange for you to talk about your concerns, by telephone, with a member of the court staff. while you are on jury service once you are at court and have been selected to sit on a trial, the judge will give you further guidance on your responsibilities in the courtroom and during the trial. jury service can affect people in different ways. you may hear or see evidence which upsets you and it may, in some circumstances, cause past events and feelings to emerge. court staff are available at all stages of jury service please remember that court staff are available at all stages of jury service. in particular, if you are unsure or uneasy about anything during the trial, you should write a note to the trial judge and attract the attention of the usher by raising your hand. the usher will pass your note to the judge who will deal with your query or concern. or you may write a note to the judge, in private during a break, and hand the note to the usher when you return to the courtroom. you may just need to speak to someone about your feelings sometimes you may just need to speak to someone about how you are feeling while on jury service. court staff and your fellow jurors on the trial may be able to help you and this may be enough, so that the feelings go away when you realise you are not alone. however, if you talk about your jury service you must be careful about what you discuss. you must ensure you follow at all times, the directions given by the trial judge about your responsibilities as a juror. it is an offence for anyone outside your jury to try and interfere with or intimidate a juror in any case before the crown court. if anyone approaches you about a case, you must tell a court ofcial or police ofcer at once so that the matter can be reported to the trial judge. page 3 after you nish jury service after jury service, if you have been upset by any of the evidence, you may nd the need to talk about your feelings. samaritans is available to you, or you may wish to contact your doctor (gp) for advice and to nd out what support is available to you. however, you should not discuss at any time the conversations which took place in the jury deliberation room. this includes any statements and opinions expressed by you or your fellow jurors while in the deliberation room because all of these conversations are private to you and your fellow jurors. as a juror, you should be aware that it is a criminal offence punishable with a ne and/or imprisonment to disclose, to any person any particular statements made, opinions expressed, arguments advanced or votes cast by members of a jury in the course of their deliberations in any legal proceedings. please remember that once you have completed your jury service, the rules above will continue to apply if you discuss any details of cases. this includes discussions with representatives of samaritans, your gp, court staff, and family and friends. how samaritans can help samaritans is an independent charity that provides emotional support, which is available 24 hours a day, but does not offer advice. you will be encouraged to talk about your feelings which allows you time to think throughyour concerns and explore your options. you can talk to samaritans in complete condence because they will not share what you tell them with anyone and will not judge you. samaritans has over 20,000 trained volunteers offering emotional support by telephone and email as well as through letters and face to face meetings. there are 201 branches across the united kingdom and republic of ireland. from relationship and family problems to job related stress and nancial worries, samaritans is available to anyone who is in any kind of distress. page 4 how to contact samaritans telephone (please see samaritans website for the latest call charge details.) united kingdom and republic of ireland: 116 123 email jo@samaritans.org visit website www.samaritans.org letter freepost rsrb-kkby-cyjk chris, po box 90 90, stirling, fk8 2sa contact your local branch of samaritans find your nearest branch by visiting www.samaritans.org frequently asked questions how do i know what to expect while on jury service? ","le through the www.gov.uk website, is designed to provide reassurance by explaining th"
a-e-eng.txt,"the attachment of earnings act 1971 allows a court to order you or your company to make deductions from the earnings of an employee to recover unpaid maintenance (high court, county courts and magistrates courts) nes, before 5 april 2004 (magistrates courts) civil judgment debts (county courts) the blue section of this booklet explains how to comply with the attachment of earnings order (aeo) that you have received. under the act, you must write to the court within ten days if you receive an order and you do not employ the person named in it. for single county court or maintenance orders you should contact the centralised attachment of earnings payment system (caps) at northampton take all reasonable steps to comply with an order or a varied order write to the court within ten days (a telephone call is not sufcient) if the employee leaves your employment. an aeo lapses from the pay day coinciding with the following termination of employment. for single county court or maintenance orders you should contact caps. you must also give a signed statement of an employees earnings if the court requires you to do so write to the court that made the order within seven days if you learn that a new employee has an existing order against him, giving details of your employees earnings and anticipated earnings. a/ea/e leaflet (11.14) crown copyright 2014 page 2 remember, the court may ne you or your employee if you do not comply with an order or if you deliberately give false information. if you have any problems with a single county court or maintenance order please contact the caps helpline on 0300 123 1058 an aeo tells you the total debt owed by your employee (unless the order is for ongoing maintenance) how often you should make a deduction (usually weekly or monthly) the amount to deduct each week or month (the normal deduction rate (ndr)) the amount below which you must not make a deduction (the protected earnings rate (per)). remember, if your employee works at a different location to your ofce, the work can be done by a wages clerk or a branch manager and you can ask the court or caps to send further correspondence to a more convenient address. the court will tell you in writing if it changes (varies) the ndr or per a magistrates court may vary the protected earnings rate for a period of up to four weeks. you should revert to the original protected earnings rate after the period stated in the order. discharges (cancels) the order, or if the order has been paid in full. you must stop deductions as soon as possible and certainly within seven days of receiving the notice. any money deducted should be sent to the court at once. you should check the amount of the nal deduction; it may be less than the usual deduction. remember, you or your employee can make an application to the court at any time to settle a dispute about the operation of an order, or to resolve any uncertainty about whether particular earnings are attachable. how to comply with an order making deductions the order comes into force on the day you receive it. you should begin to make deductions the next time you pay your employee, and on each future pay day. the court may ne you if you do not make deductions or fail to explain why you are not making deductions. the court will not ne you if the rst pay day falls within seven days of the date you receive the order. page 3 you should make deductions from your employees earnings until the total debt owed by your employee is reached. if you receive an order for ongoing maintenance, you should make deductions until the court tells you to stop. each time you make a deduction you may deduct 1 from your employees earnings towards your administrative costs for operating the order (even if this reduces your employees income below the protected earnings rate) you must inform your employee in writing about each deduction (including the amount you can deduct towards your costs) as soon as possible after making the deduction what if i pay my employee monthly but the order species weekly deductions?",ould contact caps. you must also give a signed statement of an employees earnings if t
a1-eng.txt,"5. mediator certies that the prospective applicant is exempt from attendance at mediation information and assessment meeting (miam) or conrms miam attendance (to be completed and signed by the authorised family mediator) (tick the boxes that apply) the prospective applicant attended a miam: the prospective applicant only attended a miam. the prospective applicant and respondent party(s) also attended the miam together. the prospective and respondent(s) have each attended separate miam. the prospective respondent party(s) has/have made or is/are making arrangements to attend a separate miam. mediation or other form of dispute resolution is not proceeding because: the applicant has attended a miam alone and the applicant does not wish to start or continue mediation; or the mediator has determined that mediation is unsuitable both the applicant and respondent have attended a miam (separately or together) and the applicant does not wish to start or continue mediation; or the respondent does not wish to start or continue mediation; or the mediator has determined that mediation is unsuitable mediation has started, but has: broken down; or concluded with some or all issues unresolved family mediation service name sole trader name address dated signed authorised family mediator (a family mediator who is authorised to undertake miams) dd/mm/yyyy5a.5b. 11*[i believe] [the applicant believes] that the facts stated in this application are true *i am duly authorised by the applicant to sign this statement *delete as appropriate or company) yyyyproceedings for contempt of court may be brought against a person who makes or 6. statement of truth write in your full name and the full name of the applying for in the terms of a written agreement (a consent for, and provide additional information where complete the remaining details about the answer questions 2a to 2c about whether a must then complete section 4a, b, c, or d as if a family mediator needs to certify that a family mediator who conducted it to complete what you do next fees checklist for completing form a1 12general information for completing this form and 2 to indicate which type of order(s) you are and attach the draft order with this application requirement to attend a mediation, information and assessment meeting give you (the applicant) and the other person if present (the respondent) information about family mediation and other types of non-court whether non-court dispute resolution would be then for the applicant and respondent to decide applied for and the other person (respondent) is in miam exemptions and miam attendance contacted an authorised family mediator in order notes, or of the other person so that the family mediator of the other persons if there is more than one application to the court, the court will inquire into not validly claimed it may direct you, or you and paying for miam attendance or for family mediation sessions free of charge, as well as some advice from a solicitor to support you in the mediation can be met by the legal aid agency, whether you and the prospective respondent attend the same eligible for legal aid then the mediator will agree you are eligible for legal aid by using the safety and miam attendance with you and with the other person whether you the safety and security of all concerned and will information about mediation when you or your partner petition for a involves an independent third person who assists both parties involved in a family dispute to reach a any or all of the following issues: property arrangements for children any combination of these any other disputes to do with separation and negotiation between the parties to agree their endorse what you have agreed by issuing a decide whether your case is complicated and does in fact need the court to consider your also tell you about other local services and further information and sources of help you must be a member of a national mediation matters, including whether you may eligible for or you can telephone the civil legal advice direct options for resolving disputes: including a list of commonly used terms that ",ms miam attendance (to be completed and signed by the authorised family mediator) (tic
a100-eng.txt,"a100 consent to the placement of my child for adoption with any prospective adopters chosen by the adoption agency ( 04 . 13 ) consent to the placement of my child for adoption with any prospective adopters chosen by the adoption agency section 19 of the adoption and children act 2002 before signing this form you are advised to seek legal advice about consent to placement for adoption and the effect on your parental rights. publicly funded legal advice may be available from the civil legal aid . you can get information about this or find a solicitor through cl a direct on www.gov.uk/legal - aid name and address of the adoption agency in the matter: i consent to _____________________________________________ _ (my child), who is the child to whom the attached certified copy of the entry in the register of live births relates, being placed for adoption with any prospective adopter(s) chosen by the adoption agency. if my child is adopted, i understand that i w ill no longer legally be treated as the parent and that my child will the adoption agency will have parental responsibility for my child and my own parental rights will be restricted. when my child is placed with the prospective adopter(s), they will also have parental responsibility. may not remove my child from the adoption agency or the prospective adopter(s) and that, if i do, i may be liable to prosecution. i understan d that i may withdraw my consent at any time until the prospective adopters start an adoption application in the court. if i do withdraw my consent and want my child returned to me, i understand that i must notify the adoption agency that i have changed my mind and i must, at all times, act through the agency and not approach the prospective adopter(s) directly. if i withdraw my consent, i understand that whether or not my child is returned to me will depend on a number of factors: if at the time my child has not been placed with prospective adopter(s), the agency will return my child to me within seven days of receiving my notification, unless they still consider that my child ought to be adopted. in that case, an application may have been or may be made to the court for a placement order and my child will only be returned to me if the court gives permission. if at the time my child has been placed with prospective adopter(s), but they have not yet applied to the court for an adoption order then either an application may have been or may be made to the court for a placement order and my child will only be returned to me if the court gives permission; or the agency will give the prospective adopter(s) notice that they must return my child to the agency wi thin fourteen days, and the agency will then return the child to me. if at the time the prospective adopter(s) have already applied to the court for an adoption order, i understand that i will not be able to ask the agency for my child to be returned. i w ill be entitled to be told when the prospective adopters make their application to the court, but i will only be able to oppose the making of the adoption order if the court gives me permission to do so. for the court to consider giving permission, i must be able to show that there has been a change of circumstances since i gave my consent. a100 consent to the placement of my child for adoption with any prospective adopters chosen by the adoption agency ( 04 . 13 ) i understand that once i have given my consent to placement i will have no right to contact with my child, except by arrangement with the agency or under a court order. i am entitled to apply to the court for an order for contact with my child at any time, and the court will decide on the contact arrangements it considers are most appropriate. i understand that i may sign a separate form consenting in advance to my chil d's adoption, and that if i do so, i can also ask not to be informed when the adoption application is made. i have not received any payment or reward from any person making arrangements for the adoption of my child. *[i have taken legal advice] / *[i ha ve not taken legal advice, but i have been advised to do so], about giving my consent to my child being placed for adoption and the effect on my parental rights. * (delete as appropriate) i consent unconditionally and with full understanding of what is in volved, to the placement of ____________________________________________________ (my child) for adoption with prospective adopter(s) chosen by the adoption agency. signed ................................................................................... ........................... witness statement this form was signed by ................................................................. .............................. on the.........................................day of .................................................................20xx before me (print full name) .......................................................................... ......................... signed....................................................................................................................... ...... * in england and wales this form should be witnessed by an officer of the children and family court advisory and support service or, where the child is ordinarily resident in wa les, by a welsh family proceedings officer. in scotland it should be witnessed by a justice of the peace or a sheriff, and in northern ireland by a justice of the peace. outside the united kingdom, the form should be witnessed by a person who is authorise d by law in the place where the document is signed to administer an oath for any judicial or legal purpose, a british consular officer, a notary public, or, if the person executing the document is serving in the regular armed forces of the crown, an office r holding a commission in any of those forces. ",opter(s) chosen by the adoption agency. signed .......................................
a101-eng.txt,"a101 consent to the placement of my child for adoption with identified prospective adopters ( 04.13 ) consent to the placement of my child for adoption with identified prospective adopters section 19 of the adoption and children act 2002 before signing this form you are advised to seek legal advice abo ut consenting to placement for adoption and the effect on your parental rights. publicly funded legal advice may be available from the civil legal aid . you can get information about this or find a solicitor through cl a direct on www.gov.uk/legal - aid name and address of the adoption agency in the matter: i consent to __________________________________ (my child), who is the child to whom the attached certified copy of the entry in the register of live births relates, being placed for adoption with *[______________________________________________(the named prospective adopter(s))] *[the prospective adopter(s) identified as __ ________________________________________] (*complete as appropriate) if my child is adopted, i understand that i will no longer legally be treated as the parent and that my child will y consent to placement for adoption means that the adoption agency will have parental responsibility for my child and my own parental rights will be restricted. when my child is placed with the prospective adopter(s), they will also have parental responsib ility. may not remove my chi ld from the adoption agency or the prospective adopter(s) and that, if i do, i may be liable to prosecution. i understand that i may withdraw my consent at any time until the prospective adopter(s) start(s) an adoption application in the court. if i do wi thdraw my consent and want my child returned to me, i understand that i must notify the adoption agency that i have changed my mind and i must, at all times, act through the agency and not approach the prospective adopter(s) directly. if i withdraw my con sent, i understand that whether or not my child is returned to me will depend on a number of factors: if at the time my child has not been placed with the prospective adopter(s), the agency will return my child to me within seven days of receiving my noti fication, unless they still consider that my child ought to be adopted. in that case, an application may have been or may be made to the court for a placement order and my child will only be returned to me if the court gives permission. if at the time my child has been placed with the prospective adopter(s), but they have not yet applied to the court for an adoption order then either an application may have been or may be made to the court for a placement order and my child will only be returned to me if the court gives permission; or the agency will give the prospective adopter(s) notice that they must return my child to the agency within fourteen days, and the agency will then return the child to me. if at the time the prospective adopter(s) have alrea dy applied to the court for an adoption order, i understand that i will not be able to ask the agency for my child to be returned. i will be entitled to be told when the prospective adopters make their application to the court, but i will only be able to o ppose the making of the adoption order if the court gives me permission to do so. for the court to consider giving permission, i must be able to show that there has been a change of circumstances since i gave my consent. a101 consent to the placement of my child for adoption with identified prospective adopters ( 04.13 ) i understand that once i have give n my consent to placement i will have no right to contact with my child, except by arrangement with the agency or under a court order. i am entitled to apply to the court for an order for contact with my child at any time, and the court will decide on the contact arrangements it considers are most appropriate. i understand that i may sign a separate form consenting in advance to my child's adoption, and that if i do so, i can also ask not to be informed when the adoption application is made. i have not r eceived any payment or reward from any person making arrangements for the adoption of my child. *[i have taken legal advice] / *[i have not taken legal advice, but i have been advised to do so], about giving consent to my child being placed for adoption and the effect on my parental rights. * (delete as appropriate) i consent unconditionally and with full understanding of what is involved, to the placement of ____________________________________________________ (my child) for adoption with *[_____________ _________________________________(the named prospective adopter(s)] *[the prospective adopter(s) identified as __________________________________________] *(complete as appropriate) signed.................................................................. .................................................. on.............................................day of ..............................................................20 xx witness statement this form was signed by ...................................... ................................................ on the........................................day of .............................................................20 xx before me (print full name) ............................................................. ................................. signed....................................................................................................................... .. * in england and wales this form must be witnessed by an officer of the children and family court advisory and support service or, where the child is ordinarily resident in wale s, by a welsh family proceedings officer. in scotland it should be witnessed by a justice of the peace or a sheriff, and in northern ireland by a justice of the peace. outside the united kingdom, the form should be witnessed by a person who is authorised by law in the place where the document is signed to administer an oath for any judicial or legal purpose, a british consular officer, a notary public, or, if the person executing the document is serving in the regular armed forces of the crown, an officer holding a commission in any of those forces. ",___________] *(complete as appropriate) signed........................................
a101a-bil_doc.txt,"…………………………………………......................... ........ cyn llofnodi’r ffurflen hon fe’ch cynghorir i geisio cyngor cyfreithiol before signing this form you are advised to seek legal advice about ynghylch cytuno i wneud gorchymyn rhieni a’r effaith ar eich hawliau agreeing to the making of a parental order and the effect on your parental rhieni. os ydych yn gwneud y cytundeb hwn y tu allan i’r deyrnas unedig, rights. if you are making this agreement outside the united kingdom you dylech geisio cyngor cyfreithiol am y gyfraith yn y wlad dan sylw. gallai should seek legal advice about the law in the country concerned. publicly cyngor cyfreithiol a ariennir gan arian cyhoeddus fod ar gael gan y funded legal advice may be available from the community legal service. you gwasanaeth cyfreithiol cymunedol. gallwch gael gwybodaeth am hyn neu ddod o can get information about this or find a solicitor through cls direct on hyd i dwrnai drwy’r gwasanaeth cyfreithiol cymunedol yn www.clsdirect.org.uk or by telephoning 0845 345 4 345 www.clsdirect.org.uk neu drwy ffonio 0845 345 4 345 rwy'n cytuno i orchymyn rhieni gael ei wneud yng nghyswllt i agree to a parental order being made in respect of _________________________________ _________________________________________ __________________ (fy mhlentyn), sef y plentyn y mae'r copi ardystiedig (my child), who is the child to whom the attached certified copy of the sydd ynghlwm o'r cofnod yn y gofrestr genedigaethau byw yn berthnasol iddo, entry in the register of live births relates. in favour of o blaid *[________________________________________ *[________________________________________(the named prospective parents)] (y darpar rieni a enwyd)] os gwneir gorchymyn rhieni yng nghyswllt fy mhlentyn, rwy’n deall na fyddaf if a parental order is made in respect of my child, i understand that i mwyach yn gyfreithiol yn cael fy nhrin fel y rhiant ac y bydd fy mhlentyn will no longer legally be treated as the parent and that my child will yn dod yn rhan o deulu'r ceisyddion. become a part of the applicants’ family. deallaf y caniateir i mi dynnu fy nghaniatâd yn ôl ar unrhyw adeg nes y i understand that i may withdraw my agreement at any time until the court bydd y llys yn gwneud y gorchymyn rhieni. os byddaf yn tynnu fy nghytundeb makes the parental order. if i do withdraw my agreement and want my child yn ôl ac eisiau i’m plentyn gael ei ddychwelyd ataf, deallaf fod yn rhaid i returned to me, i understand that i must notify the court that i have mi hysbysu’r llys fy mod wedi newid fy meddwl a bod yn rhaid i mi, ar bob changed my mind and i must, at all times, act through the court and not achlysur, weithredu drwy’r llys ac na ddylwn gysylltu’n uniongyrchol â’r approach the applicants directly. ceisyddion. nid wyf wedi derbyn unrhyw daliad na gwobr gan unrhyw berson sy’n gwneud i have not received any payment or reward from any person making trefniadau ar gyfer y gorchymyn mabwysiadu ar gyfer fy mhlentyn. arrangements for the parental order for my child. *[yr wyf wedi cymryd cyngor cyfreithiol] / *[nid wyf wedi cymryd cyngor *[i have taken legal advice] / *[i have not taken legal advice, but i have cyfreithiol, ond fe’m cynghorwyd i wneud hynny], ynghylch cytuno i orchymyn been advised to do so], about giving agreement to a parental order being rhieni gael ei wneud yng nghyswllt fy mhlentyn a’r effaith ar fy hawliau made in respect of my child and the effect on my parental rights. rhieni. *(delete as appropriate) *(dileer fel sy'n briodol) yr wyf yn cytuno’n ddiamod, a chyda dealltwriaeth lawn o beth y mae hyn yn i agree unconditionally and with full understanding of what is involved, to ei olygu, i orchymyn rhieni gael ei wneud yng nghyswllt the making of a parental order in respect of _________________________________________ _________________________________________ (fy mhlentyn) o blaid (my child) in favour of *[________________________________________ *[________________________________________ (y ceisyddion] (the applicants] llofnod.................................................................... signed.................................................................... ... ar y ................................................. diwrnod o on..................................................... day of ....................................................... 20xx .............................................................. 20xx datganiad tyst witness statement llofnodwyd y ffurflen hon gan this form was signed by ........................................................................... ........................................................................... ........ ........ ar y ................................................. diwrnod o on..................................................... day of ....................................................... 20xx .............................................................. 20xx ger fy mron i (printiwch yr enw llawn) before me (print full name) ........................................................................... ........................................................................... .... .... llofnod.................................................................... signed..................................................................... ... ... swydd y tyst* office of witness* ….",....................................... signed........................................
