file,required,short_text,reference,automated_validation,validated
a-e-eng.txt,FALSE,NA,a-e,NA,NA
a-e-eng.txt,FALSE,booklet explains how to comply with the attachment of earnings order (aeo) that you ha,a-e,FALSE,NA
a-e-eng.txt,FALSE,make a deduction from what is left (the attachable earnings ) after you have deducted:,a-e,FALSE,NA
a-e-eng.txt,FALSE,r the purpose of calculating deductions attachment of earnings orders fall into two ca,a-e,FALSE,NA
a-e-eng.txt,FALSE,"ion rate of 25 calculate your employees attachable earnings, eg. 190 set aside his pro",a-e,FALSE,NA
a-e-eng.txt,FALSE,"ion rate of 25 calculate your employees attachable earnings, eg 170 set aside his prot",a-e,FALSE,NA
a-e-eng.txt,FALSE,"ion rate of 25 calculate your employees attachable earnings, eg 140 as the protected e",a-e,FALSE,NA
a-e-eng.txt,FALSE,"ger or shorter than that specied in the attachment of earnings order, calculate the nu",a-e,FALSE,NA
a-e-eng.txt,FALSE,u should calculate your employees total attachable earnings for the pay period multipl,a-e,FALSE,NA
a-e-eng.txt,FALSE,an ask the court to make a consolidated attachment of earnings order (caeo). this will,a-e,FALSE,NA
a-e-eng.txt,FALSE,ation is available in a handbook called attachment orders: a guide for employers avail,a-e,FALSE,NA
a1-eng.txt,TRUE,cate which type of order(s) you are and attach the draft order with this application r,a1,TRUE,TRUE
a100-eng.txt,TRUE,"my child), who is the child to whom the attached certified copy of the entry in the re",a100,TRUE,TRUE
a101a-bil_doc.txt,TRUE,"my child), who is the child to whom the attached certified copy of the sydd ynghlwm o'",a101a,TRUE,TRUE
a104-eng.txt,TRUE,"my child), who is the child to whom the attached birth certificate relates (1) , in fa",a104,TRUE,TRUE
a105-eng.txt,TRUE,"my child), who is the child to whom the attached birth certificate relates (1) , to (2",a105,TRUE,TRUE
a107-eng.txt,TRUE,"my child), who is the child to whom the attached birth certificate relates ( see note",a107,TRUE,TRUE
a107-eng.txt,TRUE,the adopted children register should be attached and not a certified copy of the origi,a107,NA,NA
a20-eng.txt,TRUE,u will nd a list of the documents to be attached on the application form a58. if you a,a20,NA,TRUE
a20-eng.txt,TRUE,nditions applies. you will also need to attach a brief statement of the facts you are,a20,NA,NA
a21-eng.txt,TRUE,you will find a list of documents to be attached on the application form a59. you may,a21,NA,TRUE
a5-eng.txt,TRUE,ption act 1976. a copy of that order is attached.2.the transfer would be in the best i,a5,NA,TRUE
a50-bil.txt,FALSE,been made or applied for. please do not attach to this application copies of adoption,a50,NA,FALSE
a50-bil.txt,TRUE,eich cais yn berthnasol.note: you must attach to your application a brief summary of,a50,TRUE,NA
